obs.num,killed,size,sizeclass,trt.init,initial,block,P,Time,N,cohort,predtype
6,2,7.97,1,6,2,1,1,3.060833333,347,mixed,belo
9,0,10.212,1,6,2,2,1,3.08,347,mixed,belo
12,1,7.641,1,6,2,3,1,2.604166667,347,mixed,belo
15,0,7.361,1,6,2,4,1,2.580416667,347,mixed,belo
18,1,8.232,1,6,2,5,1,3.100833333,347,mixed,belo
21,0,7.903,1,6,2,6,1,3.197916667,347,mixed,belo
4,0,13.059,3,6,2,1,1,3.060833333,347,mixed,belo
7,1,15.503,3,6,2,2,1,3.08,347,mixed,belo
10,0,11.762,3,6,2,3,1,2.604166667,347,mixed,belo
13,0,18.738,3,6,2,4,1,2.580416667,347,mixed,belo
16,0,17.8995,3,6,2,5,1,2.684166667,347,mixed,belo
19,1,22.079,3,6,2,6,1,3.197916667,347,mixed,belo
5,0,50.2145,5,6,2,1,1,3.060833333,347,mixed,belo
8,0,53.881,5,6,2,2,1,3.08,347,mixed,belo
11,0,52.192,5,6,2,3,1,2.604166667,347,mixed,belo
14,0,48.8235,5,6,2,4,1,2.580416667,347,mixed,belo
17,1,54.8015,5,6,2,5,1,3.100833333,347,mixed,belo
20,0,40.9,5,6,2,6,1,3.197916667,347,mixed,belo
45,2,7.503333333,1,9,3,1,1,2.97625,347,mixed,belo
48,3,8.764666667,1,9,3,2,1,3.071666667,347,mixed,belo
3,0,8.412,1,9,3,5,1,3.0525,347,mixed,belo
51,0,7.811333333,1,9,3,6,1,3.193333333,347,mixed,belo
43,1,22.97833333,3,9,3,1,1,2.97625,347,mixed,belo
46,0,16.08033333,3,9,3,2,1,3.071666667,347,mixed,belo
1,0,23.676,3,9,3,5,1,3.0525,347,mixed,belo
49,0,26.48233333,3,9,3,6,1,3.200833333,347,mixed,belo
44,0,52.30966667,5,9,3,1,1,2.97625,347,mixed,belo
47,1,48.82066667,5,9,3,2,1,3.071666667,347,mixed,belo
2,0,42.76766667,5,9,3,5,1,3.0525,347,mixed,belo
50,0,48.946,5,9,3,6,1,3.200833333,347,mixed,belo
66,2,8.944833333,1,18,6,1,1,3.010416667,347,mixed,belo
69,0,8.793166667,1,18,6,2,1,3.080416667,347,mixed,belo
72,2,8.302,1,18,6,3,1,2.57875,347,mixed,belo
75,2,9.247,1,18,6,4,1,2.65,347,mixed,belo
78,2,8.3855,1,18,6,5,1,3.079583333,347,mixed,belo
81,0,7.980666667,1,18,6,6,1,3.17625,347,mixed,belo
64,2,17.68583333,3,18,6,1,1,3.010416667,347,mixed,belo
67,2,13.4306,3,18,6,2,1,3.080416667,347,mixed,belo
70,1,18.0102,3,18,6,3,1,2.57875,347,mixed,belo
73,1,17.8752,3,18,6,4,1,2.65,347,mixed,belo
76,2,19.78283333,3,18,6,5,1,3.079583333,347,mixed,belo
79,1,21.75116667,3,18,6,6,1,3.17625,347,mixed,belo
65,0,48.06516667,5,18,6,1,1,3.010416667,347,mixed,belo
68,1,55.5805,5,18,6,2,1,3.080416667,347,mixed,belo
71,0,44.50333333,5,18,6,3,1,2.57875,347,mixed,belo
74,0,48.934,5,18,6,4,1,2.65,347,mixed,belo
77,0,46.5915,5,18,6,5,1,3.079583333,347,mixed,belo
80,0,51.7648,5,18,6,6,1,3.17625,347,mixed,belo
99,7,7.942333333,1,27,9,1,1,3.01375,347,mixed,belo
102,0,8.547777778,1,27,9,2,1,3.102916667,347,mixed,belo
97,1,16.58755556,3,27,9,1,1,3.01375,347,mixed,belo
100,3,14.38988889,3,27,9,2,1,3.102916667,347,mixed,belo
98,0,48.559,5,27,9,1,1,3.01375,347,mixed,belo
101,1,55.22822222,5,27,9,2,1,3.102916667,347,mixed,belo
110,13,8.932333333,1,66,22,1,1,3.127083333,347,mixed,belo
113,4,8.601636364,1,66,22,2,1,3.059583333,347,mixed,belo
116,5,7.51252381,1,66,22,3,1,2.616666667,347,mixed,belo
119,5,7.771636364,1,66,22,4,1,2.577083333,347,mixed,belo
122,1,8.705409091,1,66,22,5,1,3.071666667,347,mixed,belo
125,4,8.092227273,1,66,22,6,1,3.175416667,347,mixed,belo
108,5,16.55704545,3,66,22,1,1,3.127083333,347,mixed,belo
111,3,15.16272727,3,66,22,2,1,3.059583333,347,mixed,belo
114,3,16.42105,3,66,22,3,1,2.616666667,347,mixed,belo
117,5,16.90263636,3,66,22,4,1,2.577083333,347,mixed,belo
120,10,18.88282609,3,66,22,5,1,3.071666667,347,mixed,belo
123,4,20.328,3,66,22,6,1,3.177083333,347,mixed,belo
109,0,48.87911111,5,66,22,1,1,3.127083333,347,mixed,belo
112,2,55.19131621,5,66,22,2,1,3.059583333,347,mixed,belo
115,4,51.5091,5,66,22,3,1,2.616666667,347,mixed,belo
118,0,48.08545455,5,66,22,4,1,2.577083333,347,mixed,belo
121,3,45.8037,5,66,22,5,1,3.071666667,347,mixed,belo
124,2,49.29415,5,66,22,6,1,3.177083333,347,mixed,belo
147,3,8.830333333,1,,6,1,1,3.01125,347,single,belo
